District,Year,NDVI,EVI,GNDVI,S2REP,WDBI,Yield (Tonne/Hectare)
Anuppur,2005,0.3316066603933621,0.2449247286169288,0.4040393798375954,515.3800609963432,0.474141410035569,0.71
Anuppur,2006,0.3353556343284157,0.2093342345858868,0.4100590588969545,608.54656425749,0.4417055963397935,0.74
Anuppur,2007,0.3111408475995377,0.2330286302531981,0.3893085696260892,570.0991449408571,0.4690264960647711,0.69
Anuppur,2008,0.3203993354388585,0.1972387274458266,0.3994281749541592,579.4852102813659,0.4426186762273084,0.73
Anuppur,2010,0.3535180665194925,0.2185824426178604,0.4306572456059884,577.6093547296546,0.4182736964674631,0.64
Anuppur,2011,0.33500213695138,0.198887703369473,0.4187097088506725,550.7877957360679,0.4213741616673407,1.27
Anuppur,2012,0.3524517966197465,0.2130429612175333,0.4173828527453549,625.6573854963124,0.4280016801789222,1.53
Anuppur,2013,0.3701846962137113,0.2227017222067157,0.4324578490480397,547.6383801734252,0.4130612083445573,1.27
Anuppur,2014,0.4143928733104913,0.2417530041638451,0.4663943132191315,526.7683433085523,0.3837864333163459,1.97
Anuppur,2015,0.4184474535222951,0.2459253929965923,0.4654559389129556,596.1563661978654,0.3878582261689811,1.77
Anuppur,2016,0.3503984110550901,1258904.6906090504,0.416319531341576,551.1064715510611,0.4270446467334028,1.96
Anuppur,2017,0.3921138474389843,0.2350555317874439,0.4566757184707105,613.2780637252747,0.4007230609113902,3.64
Anuppur,2018,0.3753043640996764,0.2277850740973735,0.4431591155530816,597.9143254831993,0.4082551397558709,1.77
Anuppur,2019,0.3690030189012105,0.2235230575397227,0.433069718833399,566.9667910713626,0.4143005614040312,1.62
Anuppur,2020,0.4454386990539385,0.2699829186452738,0.4767028908570331,579.0991694346767,0.3865083404673397,1.58
Anuppur,2021,0.4101391808530819,0.2448687495450629,0.4626797738208906,635.0309241921877,0.3911709862627814,2.16
Anuppur,2022,0.4292545973518586,0.2608166553415777,0.470564929024036,625.7161093230096,0.3885795417927274,2.25
Ashoknagar,2005,0.2614473404500832,0.1676484249743191,0.3341197778580903,540.1467330281496,0.5340456599402503,1.27
Ashoknagar,2006,0.3242140604396842,0.20763284706571,0.3915484314124387,563.566040012867,0.5058361024512484,1.25
Ashoknagar,2007,0.2970866295327748,0.1984680034164463,0.3629482555429603,594.5272289397453,0.5130858787196686,1.14
Ashoknagar,2008,0.3073740122628662,0.1945689711471525,0.3847568443729361,546.6954430751196,0.4945272048596057,1.4
Ashoknagar,2010,0.3120662712277297,0.1922430268214866,0.3826789720395971,652.5557622224939,0.4782380324105038,1.75
Ashoknagar,2011,0.2972024980020741,0.188114637382303,0.3777652687809806,637.4329419377086,0.4881201503058764,2.36
Ashoknagar,2012,0.3290361293100206,0.2146160893254333,0.3920588881785563,680.8217515021222,0.4967712262055666,2.59
Ashoknagar,2013,0.3481204398906376,0.2302943521007097,0.4077761059140531,690.3809267712126,0.4848872133750499,2.51
Ashoknagar,2014,0.3994348531792946,0.2440264755067798,0.4345073034925119,669.7429252766411,0.4483523970048033,2.8
Ashoknagar,2015,0.3640280739521047,0.2214315280194881,0.4124740170882265,656.3713591665521,0.4783470317152,2.58
Ashoknagar,2016,0.3453887000790017,0.2088200815054579,0.4078467439240871,651.0029603102994,0.476457616938025,2.47
Ashoknagar,2017,0.3652350452311957,0.2276699017888759,0.4213220115491188,692.3844396504494,0.4917022343088948,3.27
Ashoknagar,2018,0.3535104145437725,0.2315525550678062,0.4158079512247553,677.5640671810082,0.4987637805841932,3.36
Ashoknagar,2019,0.3531230623515317,0.2259898598656637,0.4089436043835813,676.0561747662923,0.4601400585775276,3.83
Ashoknagar,2020,0.4403399185179326,0.2843006097749297,0.4560449771625608,818.3759579773181,0.4339047022220765,3.38
Ashoknagar,2021,0.3734675009083197,0.2365770673991834,0.4207399415839564,742.1309719094451,0.4557191658221513,3.55
Ashoknagar,2022,0.4425710998381427,0.2831435193598846,0.4646548101339032,797.6106556259117,0.445562369715244,3.55
Balaghat,2005,0.4719151157464856,0.2713201324157918,0.5041822980112814,797.9139505021383,0.3583539967730834,0.96
Balaghat,2006,0.4794437361240212,0.2706659074773447,0.5139657919473868,727.7125789643114,0.346798773620838,0.76
Balaghat,2007,0.4832647272121514,0.2814758636173693,0.51274672638648,844.8624908218775,0.3483807050910939,0.9
Balaghat,2008,0.4861776391697421,0.2782349387678002,0.5167062340704139,756.5690470475721,0.3426311709020223,0.81
Balaghat,2010,0.525858631377229,0.3026429266175892,0.5615211620878527,860.3845889315869,0.3103372443924677,1.52
Balaghat,2011,0.490226624971795,0.2637320142087421,0.5387937198681654,775.2206643652651,0.3260669437734562,1.19
Balaghat,2012,0.4840044345070639,0.2814992255389859,0.5122485563368342,775.5238077529405,0.3450431113051037,1.29
Balaghat,2013,0.4739520693755688,0.2653137552444444,0.5041865796752556,698.9103645185559,0.3506867629783249,1.3
Balaghat,2014,0.5211901515445365,0.2883370853768339,0.5352666895770293,758.3045674155026,0.3262785350063631,1.47
Balaghat,2015,0.5376758351244935,0.3007460087698387,0.5503847221345156,764.9647260387728,0.3134370914262471,1.35
Balaghat,2016,0.5012318119284088,0.2875478340040717,0.5189704084766638,787.8681182687052,0.3381442723199776,1.83
Balaghat,2017,0.5030873490891301,0.2874200138958446,0.5327657761016533,812.9588513485741,0.3359451326372962,2.49
Balaghat,2018,0.4972399763227719,0.2812946133437191,0.5284979106513404,765.6326068299586,0.3351899461030329,1.32
Balaghat,2019,0.5092323476386208,0.2874391678748175,0.5283316032266325,811.6610491306141,0.3336308845961486,1.65
